[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000990s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009624s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009685s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run ContentReplace Behavior [ RunTime:0.000514s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run TokenBuild Behavior [ RunTime:0.000481s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000348s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000575s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002077s ]
[ 2014-08-27T23:50:28+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:50:28+08:00 ] /v/admin.php/Weibo/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000489s ]
[ 2014-08-27T23:50:28+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000544s ]
[ 2014-08-27T23:50:31+08:00 ] /v/admin.php/Weibo/turn | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:50:31+08:00 ] /v/admin.php/Weibo/turn | INFO: Run CheckRoute Behavior [ RunTime:0.001126s ]
[ 2014-08-27T23:50:31+08:00 ] /v/admin.php/Weibo/turn | INFO: Tag[ route_check ] --END-- [ RunTime:0.001232s ]
[ 2014-08-27T23:50:31+08:00 ] /v/admin.php/Weibo/turn | INFO: Tag[ app_begin ] --START--
